person;rating;review_bersih
568;1;login password suruh masuk blokir cek hubung bca aneh saldo tarik sesal simpan bank
569;1;hubung layan
570;1;transfer rekening login saldo
571;1;jaring normal salah bca
572;1;semenjak update mybca lambat login jaring normal penuh transfer saldo qris paksa aplikasi ulang takut baca sistem informasi pindah bank
573;1;aplikasi berat kng marah password bayar qris suka jaring buka lancar gilir mybca lambat muat update rutin
575;1;bodoh laku download aplikasi mybca rumit
576;1;kemarin verifikasi wajah video
577;1;qris gagal setan
578;1;kali aplikasi buruk
579;1;aplikasi bodoh wajah rumit gagal
580;1;nyaman mandiri bca ganggu
581;1;aplikasi buruk transfer bank saldo login tunggu lambat sayang
582;1;marah lapor hati nama ganti aman
583;1;potong saldo history kalkulasi kisar ratus ribu bca sengaja kosong transfer suka hilang
584;1;aplikasi lambat login susah wajah qris gagal mesti kali antri malu bayar kasir
585;1;macet qris kng saldo potong kirim tuju kerja
586;1;login bodoh
587;1;jam trouble transfer bayar qris susah
588;1;transaksi qris kali gagal saldo potong rekening lapor bca tunggu bilang hasil hilang merchant
589;1;buruk aplikasi transaksi gagal
590;1;suruh update aplikasi mybca
591;1;aplikasi buruk
592;1;transaksi mesti kali jaring gagal
593;1;verifikasi wajah susah kali ujung suruh video langgan service hubung
594;1;update ganti gagal verifikasi wajah bca solusi suruh cabang sabtu tunggu senin rumit
596;1;sistem suka salah login aplikasi
599;1;jaring optimal
600;1;login input verifikasi samsung iqo
601;1;password reset login bca direset
602;1;buruk lambat bayar jaring susah kelas bca aplikasi
603;1;hasil registrasi verifikasi wajah turn mode aplikasi
604;1;daftar crash
605;1;minggu fitur qris pergi jaring bagus update fix bayar takut bca
606;1;aplikasi password salah rumit urus bca jaring aman transaksi
607;1;crash susah buka aneh mobile banking mybca
608;1;lupa password bantu
